time,clean,noisy
8.030561,-6.167479327750498,-4.83338192644197
8.035853,-6.170109009101159,-6.964008749506431
8.061352,-6.1744918113522615,-4.242419710857533
8.066257,-6.183257415854466,-7.831240016747097
8.092699,-6.190269899456228,-7.814959655473374
8.098661,-6.199912064408652,-5.919553543809712
8.124051,-6.210430789811297,-7.061283847030806
8.130823,-6.220949515213941,-6.242461228531068
8.15357,-6.2279619988157044,-6.674245404576251
8.157995,-6.234097921967247,-5.8890149914084375
8.185842,-6.231468240616586,-7.450519798930833
8.188842,-6.230591680166365,-7.019787329670103
8.212366,-6.223579196564602,-9.165865388449209
8.219143,-6.2174432734130605,-7.522515831000785
8.243084,-6.204294866659754,-7.493538100110655
8.247172,-6.1928995808068885,-8.612447179465736
8.271976,-6.180627734503804,-6.288787302360973
8.277722,-6.1718621300016,-5.413990346004735
8.307323,-6.162219965049176,-4.876516643750648
8.311518,-6.156084041897633,-6.462795151725633
8.335166,-6.14819499784565,-5.556129345540061
8.339641,-6.143812195594548,-6.384447172929475
8.3649,-6.1394293933434465,-7.339045312862289
8.369316,-6.132416909741684,-6.370529813873968
8.401683,-6.129787228391023,-3.129041915179446
8.406797,-6.129787228391023,-8.849004482583535
8.432159,-6.127157547040362,-4.2612661040602315
8.436578,-6.126280986590141,-6.749261500875581
8.46167,-6.12540442613992,-5.577210173554665
8.466312,-6.126280986590141,-6.6058887179443815
8.491382,-6.128034107490582,-6.025774131498337
8.495802,-6.125404426139921,-5.915195143884207
8.525308,-6.12277474478926,-6.851979430072698
8.529318,-6.1262809865901415,-5.45396532369915
8.555216,-6.125404426139921,-4.8338384760799435
8.558745,-6.12540442613992,-5.465618923479631
8.582866,-6.120145063438598,-5.20252906469676
8.58798,-6.113132579836836,-7.826028031982974
8.612483,-6.106120096235073,-6.872080196014246
8.618291,-6.09910761263331,-4.758036546480323
8.64226,-6.090342008131106,-5.8483814028455114
8.64738,-6.086835766330225,-7.22636108008541
8.671761,-6.0885888872306655,-5.264791728370353
8.67774,-6.092095129031547,-5.011216584664189
8.701461,-6.1069966566852925,-5.562498716731342
8.707666,-6.125404426139921,-5.680033535101779
8.732169,-6.150824679196312,-5.303071138452164
8.737568,-6.177998053153143,-6.20358838367738
8.76265,-6.220072954763721,-3.118464086285997
8.766606,-6.260394735473858,-6.768600535022374
8.79226,-6.322630527439504,-4.380627428112495
8.796158,-6.379606956703828,-4.790510897563598
8.820477,-6.45674427632322,-6.500575318358618
8.82489,-6.52862223324129,-7.007528053819766
8.850557,-6.622414201414869,-4.737338797086824
8.856748,-6.7021812023849225,-6.020906504467743
8.879463,-6.802985654160263,-7.041453855198811
8.886641,-6.88538233648098,-5.64688147941014
8.91387,-6.963396216550592,-5.380438466435674
8.918289,-7.017742964464254,-6.178974334553749
8.943854,-7.0580647451743905,-6.208622974991639
8.948254,-7.073842833278357,-8.108214361546823
8.973075,-7.084361558681002,-6.806477864641935
8.977152,-7.065953789226374,-6.998090397769322
9.00451,-7.0422866570704254,-6.913233413478278
9.008379,-7.014236722663373,-8.197180123430366
9.032291,-6.983557106905661,-5.884696563328089
9.036009,-6.963396216550591,-5.64092972220088
9.061843,-6.942358765745303,-7.944541463657726
9.067131,-6.923074435840455,-8.445574252323544
9.091553,-6.909926029087149,-6.876573823142373
9.09906,-6.9002838641347255,-6.905023876570967
9.120866,-6.906419787286268,-6.6981083602362546
9.126912,-6.916938512688913,-6.525146934892991
9.155508,-6.9353462821435405,-6.4889998272302645
9.158778,-6.953754051598168,-7.667654553793344
9.18387,-6.980927425554999,-6.293755777464266
9.189638,-7.001088315910067,-8.98079264310319
9.210656,-7.034397613018442,-6.128962268362818
9.216596,-7.060694426525053,-6.442404052006109
9.241224,-7.0852381191312235,-5.889140956948097
9.245165,-7.102769328135631,-6.635854182193373
9.271706,-7.121177097590259,-8.23326751013134
9.275416,-7.1281895811920215,-5.472727348467191
9.303196,-7.139584867044885,-7.330268472433545
9.309489,-7.139584867044885,-6.088344306044672
9.334922,-7.136078625244004,-8.137313833319173
9.340087,-7.133448943893342,-8.284774799539221
9.364441,-7.12818958119202,-7.564608015131205
9.36985,-7.120300537140038,-8.24175939897751
9.393053,-7.118547416239595,-8.144108089479241
9.398802,-7.112411493088053,-7.676999576238744
9.423565,-7.104522449036071,-7.6936604795712205
9.430512,-7.103645888585849,-8.09756305965309
9.458345,-7.10101620723519,-7.481457764762392
9.461728,-7.0983865258845285,-7.804352519666297
9.488848,-7.09926308633475,-7.968720836056398
9.492533,-7.0983865258845285,-7.731608981799046
9.516785,-7.10101620723519,-7.11681535774718
9.520502,-7.107152130386732,-8.792287198063807
9.54537,-7.1036458885858496,-6.993494010103071
9.550461,-7.10276932813563,-7.933860617644026
9.5762,-7.1062755699365105,-7.92698749620341
9.581297,-7.108905251287172,-7.722691494028902
9.604388,-7.113288053538274,-7.888605117501886
9.608825,-7.115917734888935,-7.953725633440747
9.633569,-7.117670855789376,-6.943400555422433
9.63921,-7.119423976689818,-7.276458929312015
9.664647,-7.120300537140039,-8.279537433391479
9.66956,-7.116794295339156,-6.976888250016453
9.693067,-7.108905251287173,-7.043961038548989
9.698184,-7.100139646784968,-8.045968140664824
9.722768,-7.0983865258845285,-7.249406391963693
9.727866,-7.097509965434307,-7.039398434689631
9.753159,-7.1062755699365105,-8.226873414154234
9.758008,-7.113288053538275,-7.303457551888123
9.782767,-7.131695822992903,-7.878214660521556
9.788728,-7.158869196949733,-7.314846062619452
9.815267,-7.200944098560311,-8.167160516399248
9.819687,-7.244772121071328,-7.2330682703208575
9.845848,-7.306131352586754,-7.979081402262765
9.851375,-7.361354660950637,-8.22428582999296
9.878069,-7.443751343271352,-8.355011808628191
9.882464,-7.522641783791185,-7.630303124373205
9.908376,-7.619939993765645,-8.468520466629982
9.913912,-7.704966357437023,-7.643700519161789
9.938048,-7.8057708092123645,-8.0677378842064
9.942452,-7.886414370632639,-8.926139617857038
9.967367,-7.98634226195776,-8.181161281204023
9.972935,-8.063479581577152,-8.213797014413803
10.001946,-8.13097473624412,-8.827337449667967
10.006297,-8.17567931920536,-8.13042980814901
10.032483,-8.209865176763953,-7.731872731802245
10.037528,-8.221260462616819,-7.420190154608578
10.061237,-8.227396385768362,-7.3200175583143166
10.065657,-8.212494858114615,-6.631769039027579
10.091266,-8.190580846859104,-7.704397249261786
10.09801,-8.169543396053816,-7.387290601011164
10.12552,-8.147629384798307,-7.897346731331754
10.129935,-8.137110659395663,-6.638576395915983
10.159485,-8.1300981757939,-8.03014654814341
10.162733,-8.13097473624412,-6.670187979384805
10.187762,-8.136234098945442,-6.78864778317912
10.192542,-8.145876263897867,-8.058294611810723
10.217764,-8.166037154252933,-7.24053234362565
10.222649,-8.187074605058223,-7.566438751657396
10.249981,-8.209865176763952,-8.10649700974423
10.255441,-8.22651982531814,-8.000389501439512
10.281317,-8.242297913422107,-7.876479255879055
10.286221,-8.257199441075853,-7.8525837543756545
10.314468,-8.275607210530481,-7.333073585555354
10.320532,-8.279990012781582,-7.799879195474097
10.344698,-8.289632177734006,-8.464530243870046
10.349283,-8.292261859084668,-7.704052862979582
10.375289,-8.29839778223621,-8.901124249507811
10.38024,-8.304533705387751,-7.633726377575625
10.403375,-8.308916507638854,-7.516506844764293
10.407757,-8.308039947188632,-7.026024811174316
10.433787,-8.313299309889956,-6.380948057544111
10.438224,-8.313299309889956,-7.141590192872492
10.464668,-8.313299309889956,-7.923286788798963
10.46951,-8.315052430790395,-8.079706012087572
10.494713,-8.315928991240616,-7.258638450543381
10.498381,-8.314175870340176,-7.7664896939889285
10.521964,-8.316805551690837,-7.908514437777483
10.525676,-8.318558672591278,-7.183974907992534
10.551605,-8.322941474842379,-7.112370046998869
10.55651,-8.330830518894363,-8.19603090148306
10.582083,-8.334336760695244,-8.553495031320839
10.586975,-8.340472683846786,-7.881137702695552
10.611771,-8.348361727898771,-8.53522176725343
10.617191,-8.350991409249433,-8.637141819637293
10.642305,-8.356250771950755,-8.67827542180087
10.647518,-8.359757013751636,-7.671593639106049
10.671136,-8.360633574201858,-8.022301706263754
10.677605,-8.364139816002739,-7.162873480254734
10.701176,-8.363263255552518,-8.850558273827524
10.70514,-8.363263255552518,-7.886092549942179
10.730369,-8.363263255552518,-8.42315113768121
10.734084,-8.359757013751636,-8.959238228310523
10.760454,-8.352744530149874,-8.826909796957924
10.764639,-8.34573204654811,-9.035685878979411
10.789576,-8.336966442045906,-8.644720717148537
10.795364,-8.329077397993924,-8.273763721976335
10.822145,-8.3238180352926,-8.926369741347795
10.82585,-8.32557115619304,-8.31415988275474
10.851867,-8.327324277093481,-8.052032044995512
10.857169,-8.336966442045904,-7.937402659851696
10.882175,-8.353621090600093,-9.22228562455956
10.885888,-8.37202886005472,-8.669045123179652
10.911877,-8.41761000346618,-8.272532805225179
10.918099,-8.46494426777808,-9.20527805720885
10.941478,-8.53945190604681,-9.356166096020942
10.945825,-8.624478269718187,-8.795667479243583
10.971548,-8.737554567796613,-9.097972528774397
10.975275,-8.856766789026583,-9.099168397041135
11.000875,-9.016300790966689,-9.4439720179758
11.005292,-9.157427023452168,-8.279076733316163
11.031432,-9.336245355297123,-9.843644312373888
11.035852,-9.493149675886569,-9.492266383749392
